Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.66,4.01,1.06,0.391,F2V,16.675722,Giant
9.19,0.62,1.28,0.155,A0V,13.151958,Giant
9.56,2.6,4.53,0.42,F5V,16.634867,Giant
9.34,7.8,1.55,0.583,F7V,18.800472,Giant
8.48,4.8,1.12,0.221,A3III,16.886206,Dwarf
6.1,5.69,0.78,0.291,A7IV,14.875561,Giant
9.02,-0.51,1.77,0.48,F3IV,12.557852,Giant
8.49,3.32,0.74,1.143,K1III,16.09569,Dwarf
8.89,1.16,0.77,-0.037,B9IV,14.21229,Giant
8.42,0.74,1.31,1.533,M2III,12.766159,Dwarf
7.52,7.06,0.57,0.293,F2III,16.764023,Dwarf
9.29,5.16,1.35,0.4,F0V,17.853249,Giant
9.21,2.35,1.97,0.0,A0V,16.06534,Giant
8.57,1.19,1.2,1.035,K1III,13.947735,Dwarf
9.18,8.38,0.84,0.48,F5V,18.79622,Giant
8.07,7.09,0.63,0.997,K1III,17.32323,Dwarf
8.69,6.25,0.82,0.358,F2IV,17.6694,Giant
9.49,13.21,1.82,0.836,K0V,20.094513,Giant
8.57,13.45,1.16,0.546,F7V,19.213612,Giant
4.78,6.28,0.85,1.55,M0III,13.769798,Dwarf
7.89,11.48,1.38,0.601,G2/G3V,18.189709,Giant
8.24,3.08,0.86,1.06,G8III,15.682753,Dwarf
5.46,1.7,0.63,0.02,B0.5IV,11.612245,Giant
8.36,2.76,0.81,-0.018,B9V,15.564546,Giant
8.13,2.56,1.06,0.02,B8IV,15.1712,Giant
7.57,1.35,0.6,-0.081,B4III,13.221669,Dwarf
8.52,18.47,1.32,0.625,G3V,19.852335,Giant
9.31,6.26,1.2,0.652,F7/F8V,18.292873,Giant
9.01,2.99,0.77,0.051,A0V,16.388355,Giant
7.6,5.17,0.65,0.013,A0V,16.167452,Giant
8.07,5.24,1.16,0.934,G8III-IVp,16.666656,Giant
8.14,11.19,0.59,0.529,F6V,18.384151,Giant
9.05,4.33,1.22,1.069,K0II/III,17.23244,Dwarf
8.1,5.67,1.08,0.407,F0V,16.867916,Giant
9.9,7.86,2.68,0.685,G6III,19.377113,Dwarf
8.2,3.95,0.74,0.117,B9.5V,16.182985,Giant
8.13,8.28,1.15,0.622,G0V,17.72015,Giant
7.94,0.41,1.02,0.015,B1/B2II,11.00392,Dwarf
8.25,4.41,1.06,1.167,K0IIICN...,16.472193,Dwarf
9.04,9.04,1.3,0.507,F6V,18.820843,Giant
6.28,5.99,0.69,1.353,K2III,15.167135,Dwarf
8.89,2.05,0.84,-0.079,B8V,15.44877,Giant
8.13,8.19,0.99,0.573,F8V,17.696419,Giant
8.18,0.55,0.67,-0.025,B8III/IV,11.881814,Giant
9.55,0.76,1.45,0.526,A9V,13.954068,Giant
8.88,2.72,1.08,1.13,K0III,16.052845,Dwarf
6.18,2.06,0.8,-0.178,B2.5V,12.749336,Giant
7.95,10.97,0.87,0.285,F0V,18.151033,Giant
7.8,3.52,0.77,0.104,A0V,15.532713,Giant
8.39,5.18,1.03,0.247,A2/A3II/III,16.961649,Dwarf
8.37,12.36,0.9,0.736,G8V,18.830093,Giant
6.51,22.31,0.8,0.359,F1V,18.252499,Giant
5.9,17.7,0.99,0.944,K0III,17.139868,Dwarf
8.6,23.42,6.63,0.54,F7IV,20.447935,Giant
7.82,2.0,0.87,1.376,K7V,14.3251505,Giant
6.74,31.6,1.1,0.557,G1V,19.238436,Giant
8.24,2.07,0.83,0.12,A1V,14.819851,Giant
6.97,7.32,0.8,0.283,F0IV/V,16.292555,Giant
8.37,0.52,1.44,1.514,K3III,11.950016,Dwarf
9.42,2.0,1.01,0.144,B9IV/V,15.92515,Giant
7.83,1.12,0.83,1.311,G8III,13.07609,Dwarf
9.11,7.33,1.09,0.461,F5V,18.43552,Giant
8.92,20.47,0.85,0.764,G8/K0V,20.47559,Giant
5.31,12.77,0.7,0.006,A1V,15.840954,Giant
7.59,3.41,0.59,0.998,G8III,15.253773,Dwarf
8.08,4.57,0.82,1.068,K1III,16.379581,Dwarf
6.19,11.84,0.79,0.019,A1Vn,16.556759,Giant
5.62,8.12,0.84,1.062,K1III,15.16778,Dwarf
8.49,1.47,0.79,-0.085,B3III/IV,14.326587,Giant
7.93,9.31,1.09,0.331,F0V,17.774748,Giant
8.71,2.95,0.99,0.201,A3III/IV,16.05911,Giant
6.97,2.53,0.9,1.33,K1III,13.985602,Dwarf
8.74,0.96,1.29,0.954,G8III/IV,13.651356,Giant
7.89,3.7,1.15,0.04,A0IV,15.731009,Giant
9.6,4.58,1.4,0.88,G8IV/V,17.904327,Giant
9.28,5.27,0.93,0.311,F0V,17.889053,Giant
6.42,3.19,0.51,-0.111,B2V,13.938953,Giant
9.34,6.72,0.99,0.471,F3V,18.476847,Giant
7.76,7.41,0.93,0.967,G8IV,17.10909,Giant
7.82,10.79,1.15,0.44,F3V,17.985107,Giant
10.62,-0.68,2.88,0.54,A2V,14.782545,Giant
12.02,122.53,11.52,1.618,M4V,27.461212,Giant
3.02,1.27,0.56,-0.077,B3Ia,8.539019,Dwarf
8.97,2.83,1.47,1.635,K2/K3III:,16.228931,Dwarf
6.4,7.22,0.75,0.135,A3III,15.692686,Dwarf
5.07,4.29,0.56,-0.154,B4IV/V,13.232286,Giant
8.82,4.18,1.14,1.193,K0III,16.92588,Dwarf
7.6,12.09,1.67,0.97,K1IV,18.01213,Giant
6.16,27.96,0.75,0.418,F3Vp,18.392685,Giant
7.77,1.45,0.94,-0.088,B2V:ne,13.576839,Giant
7.74,2.9,1.38,0.01,A0V,15.0519905,Giant
9.1,6.27,1.46,0.724,G5V,18.086338,Giant
7.32,12.69,0.78,0.687,G2IVvar,17.837309,Giant
8.11,7.08,0.91,0.392,F3IV/V,17.360165,Giant
8.44,1.9,1.28,1.654,M1III,14.833768,Dwarf
6.69,2.25,0.82,1.139,G8II,13.450912,Dwarf
8.41,7.03,1.19,0.542,F3V,17.644775,Giant
6.44,18.75,0.82,0.514,F6V,17.805006,Giant
7.13,0.6,0.75,1.613,K5III,11.020757,Dwarf
8.32,6.71,1.17,0.238,A7III/IV,17.453613,Giant
7.58,10.08,1.02,0.293,A9V,17.597301,Giant
8.68,1.05,1.11,1.54,K3V,13.785947,Giant
9.13,6.73,1.26,0.526,F5V,18.270077,Giant
9.23,2.97,0.88,0.372,F0III,16.59378,Dwarf
8.27,3.09,0.66,0.075,A0IV/V,15.719793,Giant
8.14,2.38,1.31,0.068,A0V,15.022885,Giant
8.7,2.98,1.04,0.735,G2/G3IV,16.071081,Giant
6.49,2.62,1.03,-0.089,B5Vp,13.581507,Giant
8.47,7.33,0.77,0.33,A8III/IV,17.79552,Giant
9.97,6.1,2.29,0.5,F7V,18.896648,Giant
9.16,8.84,1.24,0.638,G2V,18.892262,Giant
9.3,9.26,1.44,0.635,G0IV/V,19.133057,Giant
6.31,11.58,0.71,0.064,A2V,16.628542,Giant
8.64,23.73,2.1,0.91,K0V,20.516489,Giant
6.34,6.34,0.62,-0.011,A0Vnn,15.350447,Giant
8.59,12.8,1.01,0.568,G0Vm,19.126049,Giant
8.73,0.59,1.3,0.181,A1V,12.584259,Giant
7.57,0.73,0.98,-0.023,B7II,11.886614,Dwarf
8.27,2.61,1.05,1.148,K2IV,15.353203,Giant
7.45,3.1,0.58,1.309,K2III,14.906808,Dwarf
9.04,8.09,1.44,0.624,F8V,18.579742,Giant
6.13,15.78,0.9,0.2,A6V,17.120535,Giant
8.11,3.75,0.8,0.04,B9V,15.980156,Giant
10.06,5.22,1.17,0.511,F3/F5V,18.648354,Giant
7.4,9.86,0.83,0.159,A3V,17.369385,Giant
4.15,8.12,0.61,-0.011,B9.5III,13.697781,Dwarf
9.26,11.68,0.96,0.662,G3V,19.597214,Giant
8.37,5.82,0.91,0.439,F3IV,17.194614,Giant
8.06,1.31,1.07,0.59,F8Ib/II,13.646357,Dwarf
7.03,9.35,0.63,0.113,A3V,16.884058,Giant
9.36,2.9,1.32,0.438,F2IV/V,16.67199,Giant
8.82,5.1,1.31,0.2,B9IV/V,17.357851,Giant
8.19,2.89,0.79,0.92,G8III,15.49449,Dwarf
8.27,1.62,0.92,0.146,B7V,14.317575,Giant
4.55,17.43,0.53,1.365,K4III,15.756486,Dwarf
8.53,6.31,1.08,0.124,B9V,17.530148,Giant
9.28,7.91,2.05,0.577,G0/G1V,18.770882,Giant
8.36,2.75,0.74,0.882,G8III+...,15.5566635,Dwarf
9.1,6.92,1.31,0.424,A9V,18.30053,Giant
9.98,7.77,1.63,0.614,G0V,19.432106,Giant
8.16,11.86,1.23,0.495,F7V,18.530424,Giant
8.44,20.5,1.22,0.805,G8IV,19.998768,Giant
6.47,29.74,0.61,0.486,F7IV-V,18.836704,Giant
9.03,3.65,1.01,1.146,K2III/IVCN.,16.841465,Giant
5.2,29.38,1.39,0.455,F5IV-V...,17.54026,Giant
8.69,0.58,0.84,1.547,K5/M0III:,12.507139,Dwarf
6.36,6.13,0.77,1.384,K4III,15.297302,Dwarf
8.88,5.63,2.03,0.9,G0V,17.632542,Giant
8.61,5.88,1.11,0.519,F3/F5IV,17.456886,Giant
9.58,8.78,1.79,0.665,G3/G5V,19.297474,Giant
7.84,9.79,0.97,0.356,F3V,17.793915,Giant
6.55,6.42,0.98,0.141,A3V,15.587675,Giant
8.99,9.78,1.1,0.49,F5/F6V,18.941694,Giant
9.15,5.05,1.39,0.495,F3/F5V,17.666456,Giant
8.37,20.78,1.21,0.642,G3/G5V,19.95823,Giant
9.25,11.12,1.37,0.739,F8V,19.480524,Giant
8.59,4.52,0.82,0.146,A3V,16.865692,Giant
7.59,13.98,1.11,0.449,F4Vvar,18.317537,Giant
10.31,5.74,1.85,0.585,A7V,19.10456,Giant
8.58,8.25,0.89,0.544,G0V,18.16227,Giant
8.03,6.45,1.02,1.03,K0III/IV,17.077797,Giant
8.23,5.79,1.05,0.571,F6/F7V,17.043392,Giant
9.87,3.16,2.52,0.359,F0IV,17.368435,Giant
6.09,7.56,0.8,-0.02,B9Vnn,15.482609,Giant
6.6,4.19,0.75,1.429,K3III,14.711071,Dwarf
6.43,15.41,0.8,0.256,A7IV-V,17.369015,Giant
9.59,11.94,1.66,0.649,G5V,19.975021,Giant
8.03,2.03,0.8,0.347,F2IV,14.56748,Giant
8.91,4.29,1.48,0.337,F0IV/V,17.072287,Giant
8.61,18.47,0.82,0.629,G2V,19.942333,Giant
9.06,10.74,1.37,0.687,G3V,19.215023,Giant
9.39,3.7,1.23,0.486,F3V,17.23101,Giant
9.39,5.93,1.37,0.441,F2V,18.255274,Giant
8.36,7.29,0.8,0.507,F6V,17.673637,Giant
8.33,3.15,1.0,0.031,A0III,15.821552,Dwarf
7.57,3.37,0.75,0.233,A5IV,15.208149,Giant
8.15,6.03,0.76,0.033,A0V,17.051586,Giant
8.74,2.16,0.81,-0.054,B8/B9V,15.412269,Giant
9.04,0.59,3.32,0.692,G8IV/V,12.89426,Giant
9.23,4.2,1.41,0.07,B5V,17.346245,Giant
8.36,15.28,0.87,0.571,G1/G2V,19.280617,Giant
7.78,1.57,0.79,0.04,B9IV,13.759499,Giant
7.95,4.4,1.21,0.246,A7V,16.167263,Giant
8.1,17.41,1.07,0.583,G1V,19.303993,Giant
7.02,9.23,0.85,0.518,F6V,16.846008,Giant
9.04,7.93,1.33,0.479,F5V,18.536366,Giant
8.48,6.19,1.16,0.354,A7V,17.438454,Giant
7.32,4.25,0.91,0.069,A1V,15.461945,Giant
8.97,1.38,1.36,0.936,F5II,14.669395,Dwarf
8.5,4.08,0.74,0.711,G3V,16.5533,Giant
9.5,8.25,1.37,0.71,G5V,19.08227,Giant
2.8,5.75,1.24,-0.216,B2IV,11.59834,Giant
9.55,8.08,1.59,0.544,F7/F8IV:,19.087057,Giant
6.8,5.78,0.87,-0.03,B9V,15.609639,Giant
6.44,5.89,0.67,1.486,K3III,15.290577,Dwarf
8.19,11.32,0.74,0.52,F6V,18.459232,Giant
8.64,5.14,0.71,0.972,G8III/IV,17.194817,Giant
5.63,10.12,0.94,-0.044,B9.5III,15.655902,Dwarf
5.42,7.86,0.68,1.556,M0III,14.897113,Dwarf
7.88,18.62,2.02,0.569,F7V,19.229898,Giant
8.95,8.63,1.23,0.455,F2V,18.630054,Giant
9.29,4.4,1.38,0.51,F7/F8IV,17.507263,Giant
8.64,9.49,1.64,0.546,F8V,18.52633,Giant
8.51,9.83,0.83,0.504,F8IV/V,18.472767,Giant
9.68,4.98,1.94,0.394,F5V,18.166147,Giant
9.2,11.71,1.45,0.566,G0V,19.542784,Giant
7.6,2.87,0.88,1.62,M2III,14.88941,Dwarf
7.5,5.81,0.93,0.249,A4IV/V,16.32088,Giant
7.86,2.87,1.19,-0.008,B8V,15.14941,Giant
6.38,18.42,1.61,0.547,F7V,17.706448,Giant
9.58,8.59,1.58,0.462,F6V,19.249966,Giant
7.85,4.5,1.06,0.175,B9IV,16.116062,Giant
8.81,0.38,1.15,0.125,B9IIIn...,11.708918,Dwarf
7.73,10.55,1.29,0.51,F6V,17.846262,Giant
8.94,0.32,1.02,-0.027,B8/B9V,11.46575,Giant
8.23,3.23,1.39,1.0,K0III,15.776012,Dwarf
9.01,1.71,1.1,1.064,G8IV,15.17498,Giant
6.42,31.18,4.99,0.483,F0IV,18.88938,Giant
7.59,3.07,0.96,1.172,G5II,15.025692,Dwarf
10.0,0.58,1.8,1.124,K2V,13.81714,Giant
6.57,6.97,0.52,1.007,K0III,15.786163,Dwarf
8.08,2.27,0.66,1.556,M2III,14.860128,Dwarf
8.62,3.55,0.77,1.054,K0III,16.371141,Dwarf
8.32,9.64,1.03,0.397,F2IV,18.240385,Giant
8.2,3.07,1.14,1.315,K2III,15.635692,Dwarf
7.66,12.66,1.04,0.442,F5IV,18.172169,Giant
9.52,8.14,1.21,0.58,G0V,19.073124,Giant
6.7,20.42,1.57,0.643,G1V,18.250278,Giant
8.4,2.78,1.04,0.055,B9V,15.620224,Giant
9.3,3.21,1.8,0.553,F6V,16.832525,Giant
8.83,4.33,1.35,-0.022,B5V(n),17.01244,Giant
8.38,8.9,0.79,0.355,F0V,18.12695,Giant
6.31,18.77,1.05,0.338,F1IV,17.67732,Giant
8.57,15.93,1.11,0.527,F8V,19.581078,Giant
8.74,2.9,0.82,0.971,G8III,16.05199,Dwarf
5.85,9.03,0.84,-0.019,B8V,15.628439,Giant
7.64,3.31,1.05,0.572,F5IV,15.23914,Giant
8.24,5.16,1.08,0.4,F2IV,16.80325,Giant
7.91,4.42,0.97,0.233,A6V,16.137112,Giant
7.14,5.9,0.76,1.177,K1/K2III,15.994261,Dwarf
6.66,8.37,0.87,0.063,A2V,16.273628,Giant
8.38,3.29,0.94,0.185,A3III/IV,15.96598,Giant
9.67,13.05,1.67,0.633,G3V,20.248053,Giant
9.07,34.14,1.36,0.77,K0/K1V,21.736319,Giant
7.38,73.07,0.91,0.889,K0V,21.698696,Giant
7.85,10.07,0.93,0.435,F3V,17.865147,Giant
7.41,5.96,0.88,0.441,F3/F5V,16.286232,Giant
8.81,6.58,1.33,0.465,F3V,17.90113,Giant
9.63,3.71,1.76,0.701,G2/G3V,17.47687,Giant
9.7,3.59,1.45,0.233,B6Ib/II,17.475471,Dwarf
9.06,0.73,1.27,1.026,K0/K1III+..,13.376615,Dwarf
8.4,11.7,1.12,0.486,F5V,18.740929,Giant
7.71,5.37,0.9,0.299,F2III,16.35987,Dwarf
8.56,14.05,0.67,0.548,F8IV/V,19.298382,Giant
9.48,2.67,1.31,0.87,G8III,16.612556,Dwarf
8.24,2.93,1.02,1.044,K0III,15.574338,Dwarf
6.96,5.57,0.82,1.172,K2III,15.689276,Dwarf
9.49,6.6,1.61,0.436,F0V,18.587719,Giant
8.02,3.36,1.07,1.061,G8III,15.651697,Dwarf
4.74,8.26,0.71,1.534,K5III,14.3249,Dwarf
7.76,4.13,1.35,0.617,F5V,15.83975,Giant
6.46,4.16,0.8,-0.076,B8V,14.555467,Giant
8.99,1.69,1.61,1.095,G8/K0IV:,15.129433,Giant
8.28,11.59,0.92,0.476,F5V,18.600418,Giant
9.06,-5.93,6.94,0.089,B2IV,17.925274,Giant
9.0,6.09,1.62,0.434,A9V,17.923086,Giant
8.9,21.66,1.33,0.893,K0IV/V,20.578293,Giant
7.74,41.7,1.14,0.804,K0V,20.84068,Giant
9.31,9.35,1.26,0.539,F8V,19.164059,Giant
7.45,4.93,0.88,0.429,A9III,15.914234,Dwarf
9.65,10.59,1.36,0.94,G8/K0V,19.77448,Giant
6.73,1.09,0.95,-0.03,B3Vne,11.917132,Giant
7.55,6.28,0.82,0.33,F0/F2III/IV,16.539799,Giant
6.96,39.07,0.8,0.627,G3V,19.919216,Giant
8.11,3.53,1.11,1.248,K0III,15.848873,Dwarf
8.83,26.74,0.92,0.875,K0/K1V,20.965807,Giant
8.12,4.44,1.23,0.961,G5V,16.356915,Giant
7.53,1.34,0.65,1.635,M2II,13.165524,Dwarf
8.83,3.69,0.74,0.17,A4V,16.66513,Giant
8.3,4.21,1.12,0.205,B9III/IV,16.42141,Giant
8.46,7.55,1.08,0.438,F3V,17.849735,Giant
9.62,3.54,1.34,0.223,A6Vn,17.365017,Giant
9.28,12.25,1.57,0.522,G0V,19.72068,Giant
6.68,41.05,1.58,0.764,G8V,19.746567,Giant
8.68,8.23,1.22,0.544,F6V,18.257,Giant
9.1,6.21,1.18,0.553,F8V,18.065458,Giant
4.89,108.23,0.7,0.664,G3/G5V,20.061739,Giant
8.86,0.85,4.22,1.039,K0III,13.507094,Dwarf
7.77,1.25,1.03,1.218,K0IIICN...,13.25455,Dwarf
7.01,3.69,0.65,1.404,K2III,14.845132,Dwarf
9.14,7.41,1.24,0.413,F3/F5IV/V,18.48909,Giant
7.83,3.8,0.77,0.955,G8III,15.728918,Dwarf
8.57,2.43,1.26,0.505,F2V,15.498032,Giant
9.71,39.03,0.93,1.211,K4V,22.666992,Giant
8.3,9.09,0.91,0.567,F7V,18.09282,Giant
7.89,2.74,1.06,-0.05,B8V,15.0787525,Giant
6.49,14.68,0.68,0.43,F3V,17.323631,Giant
8.59,3.71,0.81,-0.02,B9IV/V,16.43687,Giant
9.1,3.86,1.28,0.709,F8IV,17.032936,Giant
4.82,2.07,0.92,1.459,K2III,11.399852,Dwarf
7.8,9.94,1.45,0.481,F3V,17.786932,Giant
7.37,6.34,1.27,1.185,K2III,16.380447,Dwarf
8.28,10.41,1.23,0.488,F3V,18.367252,Giant
8.15,5.27,1.04,0.2,A3IV/V,16.759052,Giant
7.89,13.39,1.56,0.483,F6V,18.523903,Giant
8.45,3.35,1.07,0.045,A1Vvar,16.075224,Giant
6.85,6.18,0.92,0.059,A1V,15.804943,Giant
8.59,4.27,0.7,0.123,B9.5/A0V,16.74214,Giant
6.69,2.7,0.81,-0.112,B5V,13.846819,Giant
6.35,15.27,0.76,0.204,A7Vn,17.269196,Giant
8.54,10.18,1.11,0.86,G8IV,18.57874,Giant
6.21,18.84,0.81,0.307,A9III/IV,17.585403,Giant
7.22,1.73,0.6,0.054,B9.5IV,13.410231,Giant
8.54,4.5,1.2,1.338,M4III,16.806063,Dwarf
7.62,6.23,0.89,0.293,A9IV,16.592442,Giant
8.78,7.94,1.41,0.657,G3/G5V,18.279102,Giant
9.48,4.54,1.32,0.45,F2IV/V,17.765278,Giant
9.81,14.11,1.52,0.616,G3V,20.557636,Giant
5.83,8.98,0.5,0.121,A4V,15.596382,Giant
8.13,7.56,0.99,0.478,F2V,17.52261,Giant
8.48,4.88,1.13,0.485,F5V,16.922098,Giant
10.18,0.77,1.61,0.58,F5V,14.612453,Giant
9.15,2.75,1.14,0.363,F0III,16.346664,Dwarf
7.59,15.66,0.94,1.076,K1VCN...,18.56396,Giant
8.38,25.96,1.19,0.708,G6V,20.451523,Giant
9.16,7.04,1.39,0.607,F5/F6V,18.397863,Giant
8.01,16.99,0.99,0.656,G5IV/V,19.160967,Giant
5.83,4.82,0.79,-0.018,A0Vnn,14.245235,Giant
8.66,5.29,1.25,0.331,F0IV/V,17.277279,Giant
4.83,9.03,0.61,1.289,M6III:var,14.6084385,Dwarf
7.5,0.38,1.05,-0.028,B2V,10.398918,Giant
9.0,3.27,1.19,0.356,F2/F3IV,16.572739,Giant
8.49,6.71,1.13,0.475,F2/F3V,17.623611,Giant
6.75,5.82,0.72,-0.073,B8/B9II/III,15.574615,Dwarf
6.49,98.97,0.56,1.04,K3V,21.467518,Giant
9.03,1.43,1.27,1.078,K0III,14.80668,Dwarf
7.34,14.05,0.68,0.486,F6V,18.078382,Giant
7.23,3.22,0.79,0.087,A1/A2V,14.7692795,Giant
7.98,3.63,1.22,1.089,K0III,15.779533,Dwarf
9.24,6.65,1.49,0.579,F7V,18.354107,Giant
7.03,5.01,0.88,1.16,K1III,15.529188,Dwarf
7.88,16.35,0.6,0.508,F5V,18.94759,Giant
8.95,7.41,1.24,0.38,F2V,18.299091,Giant
7.09,10.91,0.87,0.304,A9V,17.279123,Giant
9.3,7.32,1.91,0.478,F5V,18.622555,Giant
8.14,4.32,0.64,-0.052,B9V,16.31742,Giant
9.09,3.06,1.52,1.084,K0III/IVp,16.518608,Giant
7.79,5.68,1.03,1.663,K5III,16.56174,Dwarf
5.79,4.82,0.74,0.006,A0Vn,14.2052355,Giant
9.48,0.09,1.44,0.938,G8III,9.251212,Dwarf
9.57,11.14,1.0,0.686,G2/G3IV/V,19.804426,Giant
6.15,29.26,0.99,0.518,F7V,18.48137,Giant
9.75,-0.65,1.54,1.015,G8III,13.814567,Dwarf
7.42,1.04,0.99,1.079,K1II+...,12.505167,Dwarf
5.62,16.32,0.75,0.066,A1V,16.683601,Giant
8.41,2.21,1.03,0.003,B9IV,15.131962,Giant
6.82,3.24,0.82,-0.079,B3V,14.372725,Giant
8.3,3.87,1.21,0.271,A2IV/V,16.238556,Giant
7.14,8.99,0.84,0.885,G8IV,16.908798,Giant
8.7,7.02,0.76,0.293,A7IV,17.931686,Giant
5.57,12.39,0.66,1.16,K2III,16.035357,Dwarf
8.52,10.07,1.52,0.503,F5V,18.535147,Giant
7.84,13.21,1.8,0.307,A9IV,18.444515,Giant
7.81,6.58,0.56,0.064,A2V,16.901129,Giant
5.89,4.28,0.5,1.634,M1III,14.047218,Dwarf
9.29,3.14,1.38,0.236,A4III/IV,16.774649,Giant
7.76,46.95,0.97,0.845,K1V,21.11818,Giant
9.02,5.84,0.83,0.686,G5IV,17.852066,Giant
8.77,5.51,1.17,0.589,F8IV/V,17.475758,Giant
7.99,5.39,0.89,0.156,A1V,16.647943,Giant
5.36,7.94,0.79,1.16,F3V...,14.859102,Giant
10.24,6.8,1.85,0.74,G8V,19.402544,Giant
8.94,1.46,1.24,1.053,K1IIICN...,14.761765,Dwarf
8.13,8.21,0.9,0.528,F5V,17.701715,Giant
8.46,10.57,0.84,0.622,G0V,18.580376,Giant
6.43,4.47,0.81,1.482,K4III,14.681538,Dwarf
6.4,5.0,0.82,0.018,B9V,14.89485,Giant
8.73,13.03,1.35,0.589,G2IVp...,19.304722,Giant
7.35,3.59,0.86,0.038,B9V,15.125473,Giant
10.85,4.52,1.86,0.87,G8III,19.125692,Dwarf
8.36,11.81,0.99,0.531,F6/F7V,18.721249,Giant
8.43,12.36,1.16,0.494,F5/F6V,18.890093,Giant
8.64,1.7,1.22,1.269,K0III,14.792245,Dwarf
8.94,4.23,0.82,1.164,K2III,17.071701,Dwarf
9.95,3.2,1.64,0.524,F5V,17.47575,Giant
8.95,3.48,1.14,0.475,F3/F5IV/V,16.657896,Giant
8.99,1.97,1.44,0.18,B2III,15.462331,Dwarf
8.24,5.58,1.29,1.203,K0III,16.973171,Dwarf
7.77,4.45,0.95,0.284,A5/7III(m),16.0118,Dwarf
8.76,4.19,1.1,1.1,G8IV,16.87107,Giant
10.02,10.63,1.49,0.71,G8V,20.152666,Giant
6.71,3.96,0.76,1.526,K4/K5III,14.698477,Dwarf
6.19,4.08,0.94,-0.034,B6V,14.243301,Giant
8.13,11.61,0.68,0.407,F2V,18.454163,Giant
8.48,2.39,1.12,1.066,G8III,15.371989,Dwarf
5.94,3.97,0.79,0.034,B9III,13.933952,Dwarf
8.42,1.49,1.02,0.086,A0IV,14.285932,Giant
9.1,10.17,0.83,0.682,G5V,19.136604,Giant
9.19,5.28,1.29,0.813,G6IV/V,17.80317,Giant
7.69,5.44,0.85,0.925,G8III,16.367994,Dwarf
7.53,4.92,1.24,1.64,K1III,15.989826,Dwarf
6.71,0.05,0.82,0.694,F5Ia,5.2048497,Dwarf
9.23,0.8,1.65,1.0,G8/K0III,13.745449,Dwarf
7.46,11.74,0.89,0.583,G0/G1V,17.80834,Giant
8.42,54.91,1.15,1.043,K3V,22.118258,Giant
6.64,13.14,0.84,0.473,F3/F5V,17.232977,Giant
8.5,12.0,1.1,0.611,G2V,18.895906,Giant
8.57,2.32,1.19,0.894,G8III-IV,15.39744,Giant
8.51,6.87,1.78,0.436,F5V,17.694784,Giant
8.16,8.43,0.71,0.542,F8IV/V,17.789137,Giant
8.57,3.11,0.78,0.978,G8III/IV,16.033802,Giant
8.52,7.67,2.14,0.257,A8V,17.943977,Giant
7.19,6.92,0.85,0.274,F0IVm...,16.39053,Giant
5.42,14.57,1.34,0.414,F3V,16.237297,Giant
6.51,12.84,0.8,0.298,A9III-IV,17.052826,Giant
8.62,3.91,0.76,1.317,K2III,16.580883,Dwarf
9.61,16.35,2.66,0.859,G8V,20.67759,Giant
7.87,1.28,0.62,0.072,B9V,13.40605,Giant
6.15,8.74,0.66,0.17,A4IV,15.857557,Giant
8.62,3.24,1.08,0.225,A0III/IV,16.172726,Giant
6.32,2.73,0.78,-0.134,B3V,13.500814,Giant
7.23,3.91,0.72,-0.04,B9.5IV,15.190884,Giant
9.48,1.45,1.32,1.008,G6/G8III,15.2868395,Dwarf
8.07,6.46,1.03,0.511,F6IV-V,17.121162,Giant
7.14,11.93,0.96,0.423,F3IV,17.523203,Giant
9.0,6.2,1.22,0.389,F6III,17.961958,Dwarf
8.42,3.78,0.85,0.015,B9.5V,16.307459,Giant
6.37,2.36,0.81,-0.048,B9IIIn,13.23456,Dwarf
8.45,2.1,0.82,1.362,K2III,15.061096,Dwarf
8.77,1.01,2.37,1.135,K0III,13.791607,Dwarf
6.49,5.32,0.95,0.139,A3V,15.119558,Giant
5.65,6.87,0.48,1.192,K4III,14.834784,Dwarf
8.97,1.35,1.42,1.057,G8/K0III,14.62167,Dwarf
7.09,22.82,0.86,0.642,G4V,18.881577,Giant
9.86,2.77,1.74,0.25,B1Ia,17.0724,Dwarf
8.93,7.22,1.51,0.418,F5V,18.222687,Giant
7.47,4.1,0.85,0.983,G8IV,15.533918,Giant
6.57,11.03,0.89,0.144,A2IV,16.782877,Giant
7.69,10.86,1.53,0.496,F8V+...,17.869148,Giant
8.28,8.29,0.94,0.434,F3V,17.872772,Giant
8.68,0.19,0.93,0.124,A0IV/V,10.073769,Giant
6.59,3.14,0.62,1.319,K3III,14.074648,Dwarf
7.38,2.3,1.09,1.084,G8/K0III,14.188639,Dwarf
9.34,3.51,1.25,0.445,F0V,17.066536,Giant
9.46,3.73,1.18,0.648,G3V,17.318544,Giant
5.12,51.57,0.77,0.563,F8V,18.681984,Giant
8.06,1.28,0.91,1.457,K3III,13.59605,Dwarf
8.72,14.37,1.26,0.541,G0V,19.507286,Giant
4.67,173.41,0.46,0.786,K0V,20.865372,Giant
10.28,9.14,2.22,0.586,G3V,20.084732,Giant
9.17,15.54,0.81,0.655,G5V,20.127254,Giant
9.23,6.06,1.57,0.331,A9IV/V,18.142363,Giant
6.32,15.21,1.03,0.516,F5V:,17.230646,Giant
7.9,0.68,0.65,-0.034,B8/B9V,12.062545,Giant
6.1,12.78,0.75,0.195,A5V,16.632654,Giant
